date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.8,-0.2,3,0,0,339,6.1,25.6,1010.5,
2021-01-02,1.5,0.2,2.2,0,0,40,11.9,36,1012.6,
2021-01-03,0.4,-0.5,1.5,0,0,352,3.6,11.9,1013.3,
2021-01-04,0.2,-1.2,1.1,0,0,51,10.1,26.3,1014.3,
2021-01-05,-0.6,-1.2,0,0.6,0,17,4.7,20.5,1014.6,
2021-01-06,-0.5,-1.6,0.1,3,10,276,7.2,23.4,1016,
2021-01-07,0.4,-0.6,1.6,0,40,292,5,16.6,1018.1,
2021-01-08,-0.4,-4.4,1.6,0,0,270,7.9,22.7,1019.9,
2021-01-09,-2.2,-5.6,0.9,0,0,39,9.7,34.6,1023.6,
2021-01-10,-1.9,-3.2,0.1,0,0,64,16.6,42.1,1025.1,
2021-01-11,-3.8,-5.9,-2.6,0,0,53,7.2,27.7,1026.6,
2021-01-12,0.3,-5.2,2.4,1,0,265,18.7,53.3,1020.6,
2021-01-13,2.1,-0.5,4.4,8.9,10,280,14,42.1,1021.6,
2021-01-14,0.4,-1.5,4.7,29.1,0,24,9.7,34.2,1020.6,
2021-01-15,-2.7,-6.4,-0.9,1.8,310,24,6.1,20.9,1025.1,
2021-01-16,-4.2,-5.8,-3,6.3,280,285,7.2,25.9,1030.2,192
2021-01-17,0.1,-3.3,1.9,4.9,290,271,11.9,38.9,1023.1,0
2021-01-18,1.1,-1.3,2.3,0,230,254,9.7,26.3,1030.1,2
2021-01-19,0.1,-3.6,3.1,0,200,230,7.2,33.5,1023.9,91
2021-01-20,-0.7,-4.7,3.5,0,180,27,4.7,13.7,1014.1,37
2021-01-21,3.1,-2.6,9.2,0.1,170,316,7.6,33.5,1006.6,51
2021-01-22,5.6,2.6,11.1,11.6,110,290,9,48.6,998.1,269
2021-01-23,2,0.5,5,1.6,60,249,10.1,43.9,1001.4,41
2021-01-24,0.4,-3.2,2.8,0.4,50,266,17.3,54.7,1004.5,477
2021-01-25,0.4,-2.1,2.3,0,60,264,13.7,52.2,1008.4,161
2021-01-26,0.5,-1,1.9,0,50,256,16.9,48.2,1023.9,150
2021-01-27,-0.4,-2.8,1.7,4.1,50,275,6.5,24.5,1021.5,3
2021-01-28,5.2,0.6,9.3,13.4,60,289,13.3,58,1012.7,41
2021-01-29,7.5,4.8,9.9,14,0,254,20.5,60.1,1006.8,55
2021-01-30,6.1,4.9,7.4,6.8,0,238,11.5,52.2,1003.7,0
2021-01-31,4.7,3.8,6.2,2.6,0,77,6.8,19.8,1001.6,5
2021-02-01,6,3.9,7.9,2.8,0,237,8.6,36.7,999.3,0
2021-02-02,8.8,5.8,11.2,1.6,0,241,14.4,49,1009,40
2021-02-03,9.1,6.9,11,13.2,0,223,16.2,59.8,1008.8,0
2021-02-04,7.1,2.8,9.9,0,0,325,8.3,48.2,1017.5,207
2021-02-05,6.7,2.4,12.3,0,0,54,4.3,14,1015.2,426
2021-02-06,5.3,3,7.9,0,0,346,4.3,21.6,1007.8,3
2021-02-07,3.9,2.2,5.8,6.7,0,267,8.3,37.4,1000.4,0
2021-02-08,2.5,0.1,6.6,2,0,288,6.8,33.5,999.4,130
2021-02-09,0.9,-0.1,2.9,1.9,10,350,6.5,22,1004.1,26
2021-02-10,-0.9,-6.8,1.7,6.9,0,0,6.1,27.7,1007.7,0
2021-02-11,-6.8,-8.9,-4.4,0,50,47,12.2,33.1,1029,382
2021-02-12,-6.4,-9.8,-3.1,0,20,61,18.7,54,1030.4,558
2021-02-13,-6.4,-9.3,-2.7,0,10,65,23.8,53.6,1036.6,508
2021-02-14,-4,-8.6,1.9,0,20,41,9.4,33.5,1040.4,555
2021-02-15,-2.1,-7.8,3.8,0.7,10,312,4.7,20.2,1036.7,106
2021-02-16,4.3,0.7,9,0.1,10,343,4.3,20.5,1025.8,219
2021-02-17,6.7,-0.1,10.9,0,0,280,10.1,37.4,1024.6,318
2021-02-18,2.9,-2.3,8.9,0.2,0,327,5,29.2,1021.3,160
2021-02-19,7.1,1.4,12.9,0.2,0,44,4.7,15.1,1022.3,272
2021-02-20,5.5,0,13.7,0,0,318,4,13.7,1022.3,483
2021-02-21,5,-1.7,14.8,0,0,302,3.6,11.5,1021.5,446
2021-02-22,5.7,-1.3,14.9,0,0,316,4.7,14.4,1026.3,440
2021-02-23,7.2,0.4,15.8,0,0,351,4,14,1037.5,542
2021-02-24,7.5,1,15.9,0,0,340,3.2,11.5,1037.3,554
2021-02-25,7,0.2,17.4,0,0,333,4.3,13.7,1033.5,476
2021-02-26,7.6,0.5,15.2,0,0,340,5,27.7,1033,309
2021-02-27,5.7,3.8,8.4,0,0,54,17.6,47.9,1036.6,410
2021-02-28,4.8,-0.2,9.8,0,0,64,12.2,37.8,1034.7,594
2021-03-01,3.7,-2.4,12.5,0,0,324,4,17.3,1033.7,593
2021-03-02,4.3,-2,13.6,0,0,13,4.3,16.6,1034.8,535
2021-03-03,3.8,-0.5,9,0,0,16,2.9,8.3,1033.4,6
2021-03-04,7,2.2,12.9,7.5,0,319,7.2,36.4,1023.6,223
2021-03-05,4.5,1.6,6.2,0,0,4,10.1,35.3,1025.4,4
2021-03-06,2.3,-1.9,7.5,0,0,52,12.6,32.8,1031.1,506
2021-03-07,2.5,-2.6,8.7,0,0,2,4.3,14,1025.6,193
2021-03-08,4.1,-0.9,8.6,0,0,36,6.8,25.6,1021.9,572
2021-03-09,2.9,-3.5,7.8,0,0,293,5.4,23.8,1020.9,597
2021-03-10,5.4,2.2,10.2,0.1,0,289,7.6,23,1022.2,435
2021-03-11,10.2,4.1,15.5,5.2,0,249,22,70.6,1012.9,81
2021-03-12,8.2,5.4,11.2,0.2,0,252,22.7,65.2,1016.4,568
2021-03-13,8.1,3.4,13,5.1,0,249,32.4,82.8,1011.2,296
2021-03-14,3.5,2.3,6.6,1,0,256,23.4,52.2,1016.5,289
2021-03-15,3.7,2.5,6.3,1.1,0,260,15.5,47.9,1018.2,32
2021-03-16,3.6,2.3,6.2,2.5,0,270,14.8,43.9,1026,85
2021-03-17,2.2,0.2,5.7,6.8,0,279,8.3,42.5,1025.1,102
2021-03-18,1,-1.7,5.3,0,0,25,6.1,23.8,1025,303
2021-03-19,0.7,-3.5,6.1,1.2,0,39,6.5,32,1021.7,300
2021-03-20,0.2,-2,3.2,0,0,59,7.6,23.8,1028.5,254
2021-03-21,1.9,-0.7,4.4,0,0,289,7.2,21.6,1025.1,3
2021-03-22,2.8,-0.4,5.3,0,0,322,6.8,31,1025.6,14
2021-03-23,4.3,-1.2,9.9,0,0,52,6.1,22.7,1028.4,534
2021-03-24,5.7,-2.3,14.7,0,0,348,4.3,14.4,1027.4,692
2021-03-25,8.3,-0.8,16.5,0,0,296,6.1,29.5,1024.5,681
2021-03-26,10.1,2,17.3,6.5,0,314,5.8,27.4,1022.5,631
2021-03-27,8.3,3.8,11.7,0,0,274,18.4,56.9,1028.1,493
2021-03-28,7.7,0,15.3,0,0,,5,17.3,1033.8,716
2021-03-29,9.9,1,19.1,0,0,17,4.3,15.5,1035.3,730
2021-03-30,12.1,2.1,22.3,0,0,345,5,18.7,1032.6,739
2021-03-31,13.1,3.9,22.3,0,0,65,4.3,15.8,1026.3,739
2021-04-01,13.6,5.2,23.2,9.1,0,324,5,58.7,1021.3,661
2021-04-02,11.6,4.6,18.2,0,0,355,7.6,31.7,1019.8,490
2021-04-03,5.5,1.3,8.8,0,0,41,9.7,31.3,1025.1,48
2021-04-04,6.9,0.4,13.5,0,0,59,7.6,29.9,1023.2,755
2021-04-05,5.7,-0.7,13.3,0.9,0,315,16.2,72,1014.6,283
2021-04-06,0.6,-1.9,3.2,2,0,237,11.5,38.2,1017.7,269
2021-04-07,1.1,-1.5,3.8,0,0,268,18.7,50,1023.4,62
2021-04-08,4.7,0.3,9.8,0,0,243,10.8,31.3,1027.3,646
2021-04-09,8,-2.3,17,0,0,292,7.9,46.1,1020.6,669
2021-04-10,11.9,5.5,17.9,0,0,273,8.3,33.8,1016.1,394
2021-04-11,12.4,6.8,19.8,7.7,0,135,8.3,40.3,1012.8,447
2021-04-12,3.1,-0.6,8.8,5.6,0,254,9,37.4,1028.3,96
